year,week,State,reported_ILI_cases_per_week
2012,29,California,357
2012,29,Colorado,69
2012,29,Georgia,222
2012,29,Illinois,397
2012,29,New York,7
2012,29,Pennsylvania,57
2012,29,Texas,471
2012,29,Washington,12
2012,30,Arizona,77
2012,30,California,354
2012,30,Colorado,72
2012,30,Georgia,231
2012,30,Illinois,429
2012,30,New York,5
2012,30,Pennsylvania,71
2012,30,Texas,438
2012,30,Washington,13
2012,31,Arizona,102
2012,31,California,362
2012,31,Colorado,59
2012,31,Georgia,210
2012,31,Illinois,490
2012,31,New York,9
2012,31,Pennsylvania,52
2012,31,Texas,491
2012,31,Washington,7
2012,32,Arizona,127
2012,32,California,343
2012,32,Colorado,62
2012,32,Georgia,281
2012,32,Illinois,378
2012,32,New York,5
2012,32,Pennsylvania,46
2012,32,Texas,500
2012,32,Washington,14
2012,33,Arizona,116
2012,33,California,160
2012,33,Colorado,72
2012,33,Georgia,335
2012,33,Illinois,442
2012,33,New York,7
2012,33,Pennsylvania,55
2012,33,Texas,519
2012,33,Washington,11
2012,34,Arizona,142
2012,34,California,411
2012,34,Colorado,95
2012,34,Georgia,483
2012,34,Illinois,518
2012,34,New York,4
2012,34,Pennsylvania,68
2012,34,Texas,561
2012,34,Washington,8
2012,35,Arizona,179
2012,35,California,525
2012,35,Colorado,110
2012,35,Georgia,414
2012,35,Illinois,579
2012,35,New York,7
2012,35,Pennsylvania,65
2012,35,Texas,542
2012,35,Washington,7
2012,36,Arizona,133
2012,36,California,543
2012,36,Colorado,89
2012,36,Georgia,215
2012,36,Illinois,503
2012,36,New York,8
2012,36,Pennsylvania,66
2012,36,Texas,579
2012,36,Washington,13
2012,37,Arizona,137
2012,37,California,627
2012,37,Colorado,97
2012,37,Georgia,226
2012,37,Illinois,687
2012,37,New York,15
2012,37,Pennsylvania,117
2012,37,Texas,780
2012,37,Washington,9
2012,38,Arizona,137
2012,38,California,678
2012,38,Colorado,102
2012,38,Georgia,211
2012,38,Illinois,607
2012,38,New York,9
2012,38,Pennsylvania,97
2012,38,Texas,782
2012,38,Washington,18
2012,39,Arizona,122
2012,39,California,656
2012,39,Colorado,132
2012,39,Georgia,230
2012,39,Illinois,644
2012,39,New York,24
2012,39,Pennsylvania,109
2012,39,Texas,778
2012,39,Washington,18
2012,40,Arizona,132
2012,40,California,720
2012,40,Colorado,102
2012,40,Georgia,261
2012,40,Illinois,696
2012,40,New York,48
2012,40,Pennsylvania,213
2012,40,Texas,794
2012,40,Washington,38
2012,41,Arizona,136
2012,41,California,781
2012,41,Colorado,115
2012,41,Georgia,308
2012,41,Illinois,734
2012,41,New York,94
2012,41,Pennsylvania,171
2012,41,Texas,951
2012,41,Washington,40
2012,42,Arizona,194
2012,42,California,840
2012,42,Colorado,98
2012,42,Georgia,278
2012,42,Illinois,789
2012,42,New York,156
2012,42,Pennsylvania,219
2012,42,Texas,768
2012,42,Washington,49
2012,43,Arizona,139
2012,43,California,812
2012,43,Colorado,101
2012,43,Georgia,364
2012,43,Illinois,765
2012,43,New York,124
2012,43,Pennsylvania,201
2012,43,Texas,981
2012,43,Washington,47
2012,44,Arizona,193
2012,44,California,853
2012,44,Colorado,124
2012,44,Georgia,384
2012,44,Illinois,836
2012,44,New York,84
2012,44,Pennsylvania,213
2012,44,Texas,1080
2012,44,Washington,61
2012,45,Arizona,224
2012,45,California,909
2012,45,Colorado,137
2012,45,Georgia,587
2012,45,Illinois,923
2012,45,New York,138
2012,45,Pennsylvania,235
2012,45,Texas,1314
2012,45,Washington,60
2012,46,Arizona,224
2012,46,California,857
2012,46,Colorado,164
2012,46,Georgia,787
2012,46,Illinois,885
2012,46,New York,171
2012,46,Pennsylvania,236
2012,46,Texas,1269
2012,46,Washington,86
2012,47,Arizona,193
2012,47,California,639
2012,47,Colorado,147
2012,47,Georgia,781
2012,47,Illinois,853
2012,47,New York,176
2012,47,Pennsylvania,208
2012,47,Texas,1644
2012,47,Washington,56
2012,48,Arizona,217
2012,48,California,946
2012,48,Colorado,230
2012,48,Georgia,1086
2012,48,Illinois,1116
2012,48,New York,260
2012,48,Pennsylvania,282
2012,48,Texas,1692
2012,48,Washington,75
2012,49,Arizona,281
2012,49,California,905
2012,49,Colorado,300
2012,49,Georgia,1338
2012,49,Illinois,1529
2012,49,New York,380
2012,49,Pennsylvania,424
2012,49,Texas,2229
2012,49,Washington,71
2012,50,Arizona,344
2012,50,California,920
2012,50,Colorado,402
2012,50,Georgia,1416
2012,50,Illinois,1995
2012,50,New York,506
2012,50,Pennsylvania,566
2012,50,Texas,2524
2012,50,Washington,100
2012,51,Arizona,424
2012,51,California,1025
2012,51,Colorado,556
2012,51,Georgia,1320
2012,51,Illinois,2271
2012,51,New York,562
2012,51,Pennsylvania,629
2012,51,Texas,3327
2012,51,Washington,88
2012,52,Arizona,446
2012,52,California,957
2012,52,Colorado,483
2012,52,Georgia,1427
2012,52,Illinois,2227
2012,52,New York,475
2012,52,Pennsylvania,642
2012,52,Texas,2924
2012,52,Washington,99
2013,1,Arizona,512
2013,1,California,812
2013,1,Colorado,492
2013,1,Georgia,783
2013,1,Illinois,1903
2013,1,New York,397
2013,1,Pennsylvania,539
2013,1,Texas,3023
2013,1,Washington,127
2013,2,Arizona,649
2013,2,California,1255
2013,2,Colorado,705
2013,2,Georgia,1014
2013,2,Illinois,2008
2013,2,New York,627
2013,2,Pennsylvania,762
2013,2,Texas,3518
2013,2,Washington,173
2013,3,Arizona,934
2013,3,California,1783
2013,3,Colorado,891
2013,3,Georgia,818
2013,3,Illinois,1790
2013,3,New York,647
2013,3,Pennsylvania,892
2013,3,Texas,3430
2013,3,Washington,231
2013,4,Arizona,1046
2013,4,California,2043
2013,4,Colorado,757
2013,4,Georgia,605
2013,4,Illinois,1500
2013,4,New York,621
2013,4,Pennsylvania,608
2013,4,Texas,3284
